"quad","year","totCover","group"
"Q16",30,67.9080379475513,"P2"
"Q16",34,408.581522597514,"P2"
"Q16",32,174.923734884567,"P2"
"Q16",56,2400.59811599937,"P2"
"Q16",52,2060.01891426809,"P2"
"Q17",32,891.662231757564,"P2"
"Q17",35,1053.53569340032,"P2"
"Q17",57,1496.57976292054,"P2"
"Q17",30,583.984590332348,"P2"
"Q17",56,1415.59681247094,"P2"
"Q17",34,917.100000473101,"P2"
"Q17",31,574.263160990384,"P2"
"Q17",52,692.822228693544,"P2"
"Q18",31,271.528879112492,"P2"
"Q18",35,160.235065210177,"P2"
"Q18",34,44.7311110736226,"P2"
"Q18",32,222.010418832411,"P2"
"Q18",57,1600.91254177869,"P2"
"Q18",56,1578.38984550062,"P2"
"Q18",52,3355.47348692255,"P2"
"Q18",30,232.714256744233,"P2"
"Q19",23,43.1497724190955,"P7E1"
"Q19",45,908.481544020235,"P7E1"
"Q19",38,131.161358354383,"P7E1"
"Q19",55,1226.92722625457,"P7E1"
"Q19",26,25.1845991010341,"P7E1"
"Q19",35,42.6821880235399,"P7E1"
"Q19",34,0.5,"P7E1"
"Q19",37,93.2055131741725,"P7E1"
"Q19",27,0.25,"P7E1"
"Q19",46,639.344827398452,"P7E1"
"Q19",50,645.269317200294,"P7E1"
"Q19",29,0.25,"P7E1"
"Q19",41,294.759094823857,"P7E1"
"Q19",36,50.0233953644145,"P7E1"
"Q19",54,977.734876355613,"P7E1"
"Q19",47,597.385172909956,"P7E1"
"Q19",51,589.803927657931,"P7E1"
"Q19",40,174.038895998907,"P7E1"
"Q19",42,290.936357363587,"P7E1"
"Q19",49,422.837876065039,"P7E1"
"Q19",33,0.75,"P7E1"
"Q19",52,774.330743491774,"P7E1"
"Q19",39,112.877589428876,"P7E1"
"Q19",56,452.634386897991,"P7E1"
"Q2",34,118.458167734594,"E1"
"Q2",55,147.758851073561,"E1"
"Q2",46,451.118768856726,"E1"
"Q2",42,375.038590020252,"E1"
"Q2",36,283.6012931526,"E1"
"Q2",45,722.570210968675,"E1"
"Q2",32,384.299817500281,"E1"
"Q2",40,393.346567937357,"E1"
"Q2",56,145.09917313959,"E1"
"Q2",49,269.476142211912,"E1"
"Q2",33,380.505999480728,"E1"
"Q2",54,153.377758072747,"E1"
"Q2",38,508.753726305963,"E1"
"Q2",41,341.930302256491,"E1"
"Q2",47,299.874365630274,"E1"
"Q2",52,361.929143935263,"E1"
"Q2",35,372.45374880952,"E1"
"Q2",51,315.855330148661,"E1"
