,year,estimate,se,males,females,spikes,calves,h.bulls,bulls.se,h.cows,cows.se,h.calves,calves.se,cull,pre.cull,contracept,f.alpha,f.beta
1,1969,686.818527,21.25746489,132,368,33,132,296,NA,109,NA,27,NA,0,0,0,NA,NA
2,1970,527.9587337,28.6477904,82,685,103,178,5,NA,42,NA,6,NA,0,0,0,NA,NA
3,1971,609.3743778,24.58667148,40,221,31,60,52,NA,52,NA,4,NA,0,0,0,NA,NA
4,1972,696.747264,20.88183933,101,389,51,171,199,NA,92,NA,28,NA,0,0,0,NA,NA
5,1973,496.1867751,30.34076028,78,646,84,123,60,NA,30,NA,3,NA,0,0,0,NA,NA
6,1974,624.2674834,23.89850878,42,279,28,109,83,NA,14,NA,5,NA,0,0,0,NA,NA
7,1975,560.7235661,26.95964066,72,425,72,140,59,NA,60,NA,17,NA,0,0,0,NA,NA
8,1976,968.7946599,18.24683051,39,431,39,129,46,NA,47,NA,10,NA,0,0,0,NA,NA
9,1977,599.4456407,25.05614352,29,260,29,94,111,NA,133,NA,11,NA,0,0,0,NA,NA
10,1978,918.1581008,17.43043012,35,321,26,112,152,NA,147,NA,14,NA,0,0,0,NA,NA
11,1979,821.8493512,17.59013094,NA,NA,NA,NA,162,NA,217,NA,19,NA,0,0,0,NA,NA
12,1980,845.6783202,17.33740441,NA,NA,NA,NA,113,NA,209,NA,20,NA,0,0,0,NA,NA
13,1981,905.2507426,17.31849049,NA,NA,NA,NA,165,NA,152,NA,21,NA,0,0,0,NA,NA
14,1982,796.0346348,18.01383996,NA,NA,NA,NA,96,NA,118,NA,27,NA,0,0,0,NA,NA
15,1983,1489.060483,43.72958847,NA,NA,NA,NA,194,NA,262,NA,46,NA,0,0,0,NA,NA
16,1984,915.1794797,17.40099992,NA,332,NA,129,138,NA,144,NA,26,NA,0,0,0,NA,NA
17,1985,1114.747095,23.24988158,NA,355,NA,106,204,NA,228,NA,40,NA,0,0,0,NA,NA
18,1986,856.5999309,17.26775878,NA,342,NA,120,244,NA,223,NA,37,NA,0,0,0,NA,NA
19,1987,938.015575,17.68072865,NA,329,NA,132,115,NA,175,NA,31,NA,0,0,0,NA,NA
20,1988,955.8873017,17.98398082,NA,332,NA,129,157,23.23,163,26.87,33,14.1,0,0,0,NA,NA
21,1989,808.941993,17.78306993,NA,344,NA,117,108,8.49,135,20.65,11,5.75,0,0,0,NA,NA
22,1990,929.5761485,17.56296848,NA,337,NA,125,98,8.24,183,29.53,3,1.18,0,0,0,NA,NA
23,1991,1126.661579,23.78257452,NA,360,NA,101,144,8.68,136,15.16,14,5.47,0,0,0,NA,NA
24,1992,893.3362581,17.25149523,81,177,18,64,97,8.37,76,9.8,3,2.43,0,0,0,NA,NA
25,1993,755.3268128,18.97255948,97,314,53,176,181,12.48,152,17.08,20,7.72,0,0,0,NA,NA
26,1994,600,34,36,237,17,68,142,7.45,132,16.46,7,5.02,0,0,0,NA,NA
27,1995,1221,192.5,47,559,32,129,134,7.73,100,11.58,10,3.1,0,0,0,NA,NA
28,1996,788,78.4,54,196,10,29,171,9.93,103,12.16,8,3.14,0,0,0,NA,NA
29,1997,988,138.5,32,385,18,108,158,10.01,114,16.31,1,0.71,0,0,0,NA,NA
30,1998,1184,83.3,44,141,8,54,237,12.11,180,18.18,25,7.46,0,0,0,NA,NA
31,1999,1036,79.89,64,246,7,57,182,10.08,157,17.96,4,3.87,0,0,0,NA,NA
32,2000,753.7288037,55.43833633,51,50,5,14,184,13.48,183,22.28,6,5.27,0,0,0,NA,NA
33,2001,1461.818243,114.6340771,62,447,27,61,215,14.42,297,28.74,23,9.95,0,0,0,NA,NA
34,2002,1010.36983,5.04194259,20,351,15,79,277,18.78,290,27.94,12,5.02,0,0,0,NA,NA
35,2003,552.7795357,95.32638096,36,175,11,54,192,15.44,284,36.96,60,19.71,0,0,0,NA,NA
36,2004,636.9342493,135.0302275,18,260,8,47,208,15.03,251,35.87,49,18.96,0,0,0,NA,NA
37,2005,786.5251982,20.7811679,6,287,9,53,159,11.9,346,37.68,16,9.05,0,0,0,NA,NA
38,2006,NA,NA,NA,NA,NA,NA,246,17.3,435,48.23,35,16.93,0,0,0,NA,NA
39,2007,689.1932406,247.5750247,46,231,5,29,198,15.03,248,38.37,10,5.16,0,0,0,NA,NA
40,2008,511,102,21,404,6,25,100,5.87,156,30.29,25,13.59,33,13,0,NA,NA
41,2009,584,113,17,303,25,43,95,5.59,126,24.49,12,6.65,63,13,47,20,2
42,2010,603,23.56,47,313,66,76,108,8,68,12.86,2,1.66,50,0,26,14,6
43,2011,499.5,65.6,70,177,13,33,143,8,118,24,7,3,0,0,13,5,5
44,2012,445.27,63.71,129,248,16,58,119,7,105,21,2,1,0,0,4,6,6
45,2013,251.67,31.19,,355,,113,88,6,131,25,2,2,0,0,0,6,6
46,2014,242.49,34.27,43,158,12,16,112,8,143,32,29,18,0,0,0,0,0
47,2015,319.99,45.32,83,198,12,26,128,9,164,24,13,7,0,0,0,0,0
48,2016,,,,,,,128,9,164,24,13,7,0,0,0,0,0
49,2017,,,,,,,128,9,164,24,13,7,0,0,0,0,0
50,2018,,,,,,,128,9,164,24,13,7,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,
